name,family,num_qubits,method,swap_count,swap_count_source,routing_score,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_swap_count,routed_cnot_raw_count,routed_cnot_equiv_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead
qaoa_20_0329,qaoa,20,qiskit_sabre_full,11.0,exact_swap_ops,11.0,11.0,0.006459099939092994,0.006459099939092994,qiskit_sabre_full,20.0,402.0,334.0,68.0,68.0,48.0,413.0,334.0,79.0,11.0,68.0,101.0,50.0,11.0,0.0,11.0,11.0,33.0,2.0
rd84_253,rd84,16,qiskit_sabre_full,4136.0,exact_swap_ops,4136.0,4136.0,0.10741210007108748,0.10741210007108748,qiskit_sabre_full,16.0,17062.0,11102.0,5960.0,5960.0,8780.0,21198.0,11102.0,10096.0,4136.0,5960.0,18368.0,15292.0,4136.0,0.0,4136.0,4136.0,12408.0,6512.0
mod5adder_129,mod5adder,6,qiskit_sabre_full,29.0,exact_swap_ops,29.0,29.0,0.00809949985705316,0.00809949985705316,qiskit_sabre_full,6.0,247.0,165.0,82.0,82.0,170.0,276.0,165.0,111.0,29.0,82.0,169.0,221.0,29.0,0.0,29.0,29.0,87.0,51.0
miller_11,miller,3,qiskit_sabre_full,3.0,exact_swap_ops,3.0,3.0,0.0075107000302523375,0.0075107000302523375,qiskit_sabre_full,3.0,59.0,39.0,20.0,20.0,42.0,62.0,39.0,23.0,3.0,20.0,29.0,56.0,3.0,0.0,3.0,3.0,9.0,14.0
routing_stress_28_0027,routing_stress,28,qiskit_sabre_full,78.0,exact_swap_ops,78.0,78.0,0.010423500090837479,0.010423500090837479,qiskit_sabre_full,28.0,246.0,180.0,66.0,66.0,42.0,324.0,180.0,144.0,78.0,66.0,300.0,75.0,78.0,0.0,78.0,78.0,234.0,33.0
rd53_137,rd53,7,qiskit_sabre_full,36.0,exact_swap_ops,36.0,36.0,0.006784399971365929,0.006784399971365929,qiskit_sabre_full,7.0,260.0,183.0,77.0,77.0,189.0,296.0,183.0,113.0,36.0,77.0,185.0,220.0,36.0,0.0,36.0,36.0,108.0,31.0
rd53_133,rd53,7,qiskit_sabre_full,63.0,exact_swap_ops,63.0,63.0,0.00796240009367466,0.00796240009367466,qiskit_sabre_full,7.0,708.0,536.0,172.0,172.0,508.0,771.0,536.0,235.0,63.0,172.0,361.0,598.0,63.0,0.0,63.0,63.0,189.0,90.0
urf5_280,urf5,16,qiskit_sabre_full,17271.0,exact_swap_ops,17271.0,17271.0,0.42924830014817417,0.42924830014817417,qiskit_sabre_full,16.0,61269.0,37505.0,23764.0,23764.0,33449.0,78540.0,37505.0,41035.0,17271.0,23764.0,75577.0,59190.0,17271.0,0.0,17271.0,17271.0,51813.0,25741.0
radd_250,radd,16,qiskit_sabre_full,985.0,exact_swap_ops,985.0,985.0,0.027751999907195568,0.027751999907195568,qiskit_sabre_full,16.0,4013.0,2608.0,1405.0,1405.0,2145.0,4998.0,2608.0,2390.0,985.0,1405.0,4360.0,3725.0,985.0,0.0,985.0,985.0,2955.0,1580.0
qaoa_28_0301,qaoa,28,qiskit_sabre_full,71.0,exact_swap_ops,71.0,71.0,0.007852200185880065,0.007852200185880065,qiskit_sabre_full,28.0,803.0,641.0,162.0,162.0,77.0,874.0,641.0,233.0,71.0,162.0,375.0,123.0,71.0,0.0,71.0,71.0,213.0,46.0
